0,0.006304,0.005229
1,0.000426,0.000342
2,0.00029,0.000209
3,0.000229,0.000162
4,0.000162,0.000143
5,0.000146,0.000125
6,0.000136,0.000113
7,0.000127,0.000104
8,0.000115,0.000097
9,0.000103,0.000093
10,0.000097,0.000092
11,0.000109,0.000098
12,0.000151,0.000113
13,0.000232,0.000138
14,0.000343,0.000172
15,0.000465,0.000211
16,0.000588,0.000251
17,0.00072,0.000293
18,0.000858,0.000336
19,0.000999,0.000379
20,0.001146,0.000425
21,0.001288,0.000472
22,0.001407,0.000515
23,0.001494,0.000551
24,0.001556,0.000582
25,0.00161,0.000612
26,0.001665,0.000646
27,0.001717,0.000684
28,0.001767,0.000729
29,0.001817,0.000779
30,0.001865,0.000833
31,0.001911,0.000887
32,0.00196,0.000939
33,0.002014,0.000988
34,0.002071,0.001034
35,0.002138,0.001085
36,0.002211,0.001143
37,0.002279,0.001205
38,0.002342,0.001271
39,0.002405,0.001345
40,0.002482,0.001429
41,0.002583,0.001524
42,0.00271,0.00163
43,0.00287,0.001748
44,0.003064,0.001881
45,0.003285,0.002029
46,0.003538,0.002195
47,0.003834,0.002386
48,0.004178,0.002605
49,0.004569,0.002851
50,0.004997,0.003118
51,0.005462,0.003403
52,0.005971,0.003714
53,0.006526,0.004052
54,0.007125,0.004415
55,0.007766,0.004813
56,0.008445,0.005233
57,0.009156,0.005647
58,0.009897,0.006043
59,0.010671,0.006441
60,0.011519,0.006886
61,0.012419,0.007391
62,0.013307,0.007931
63,0.014164,0.008508
64,0.015032,0.009142
65,0.016013,0.009874
66,0.017138,0.010717
67,0.018362,0.01166
68,0.019693,0.012711
69,0.021174,0.013894
70,0.022889,0.015285
71,0.024869,0.016878
72,0.027095,0.018607
73,0.029587,0.020466
74,0.032394,0.022522
75,0.035668,0.024929
76,0.039396,0.027729
77,0.043453,0.030855
78,0.047826,0.034321
79,0.052649,0.038211
80,0.058206,0.042771
81,0.064581,0.047992
82,0.071657,0.053678
83,0.079465,0.05981
84,0.088141,0.066584
85,0.097854,0.074258
86,0.108747,0.083053
87,0.120919,0.093123
88,0.134425,0.10454
89,0.149273,0.117305
90,0.165452,0.131392
91,0.182935,0.146753
92,0.201679,0.163331
93,0.221637,0.181064
94,0.242747,0.199886
95,0.263672,0.218908
96,0.284014,0.237815
97,0.303355,0.256265
98,0.321268,0.273894
99,0.337332,0.290328
100,0.354198,0.307747
101,0.371908,0.326212
102,0.390503,0.345785
103,0.410029,0.366532
104,0.43053,0.388524
105,0.452057,0.411835
106,0.474659,0.436546
107,0.498392,0.462738
108,0.523312,0.490503
109,0.549478,0.519933
110,0.576951,0.551129
111,0.605799,0.584196
112,0.636089,0.619248
113,0.667893,0.656403
114,0.701288,0.695787
115,0.736353,0.736353
116,0.77317,0.77317
117,0.811829,0.811829
118,0.85242,0.85242
119,0.895041,0.895041
